en;nl;fr;de;sv;pl;no
Is read-only;Is alleen te lezen;Est en lecture seule;Ist nur lesbar;Är skrivskyddat;Tylko do odczytu;Er skrivebeskyttet
Terms & Conditions;Algemene voorwaarden;Conditions générales de vente;Bedingungen und Konditionen;Villkor;Regulamin;Vilkår og betingelser 
Last seen;Laatst gezien;Dernière visite;Zuletzt gesehen;Senaste setts;Ostatnio widziany;Sist sett 
2-FA;2-FA;2-FA;2-FA;2-FA;2-FA;2-FA 
Sub-organization;Suborganisatie;Sous-organisation;Sub-Organisation;Suborganisation;Spółka zależna;Underorganisasjon 
Access to;Toegang tot;Accès au;Zugang zu;Tillgång till;Dostęp do;Tilgang til
CRM account;CRM-account;Compte CRM;CRM-Konto;CRM-konto;Konto CRM;CRM-konto 
Contact;Contact;Contact;Kontakt;Kontakta;Kontakt;Kontakt 
Permissions;Rechten;Permissions;Berechtigungen;Behörigheter;Uprawnienia;Tillatelser 
User creation requests;Verzoeken om gebruikers aan te maken;Demandes de création d'utilisateur;Anfragen zur Benutzererstellung;Förfrågningar om skapande av användare;Prośby użytkownika o utworzenie;Forespørsler om opprettelse av brukere 
Resend activation mail;Activeringsmail opnieuw verzenden;Renvoyer le mail d'activation;Aktivierungsmail erneut senden;Skicka om aktiveringsbrev;Wyślij ponownie wiadomość aktywacyjną;Sende aktiverings-e-post på nytt 
Two-factor auth.;Twee-factor auth.;Autorisation à deux facteurs;Zwei-Faktor-Authentifizierung;Tvåfaktorsautentisering.;Uwierzytelnienie dwuskładnikowe;To-faktor autentisering. 
Disable;Uitschakelen;Désactiver;Deaktivieren;Inaktivera;Wyłącz;Deaktivere 
Configuration model versioning;Configuratiemodel versiebeheer;Gestion des versions du modèle de configuration;Versionierung des Konfigurationsmodells;Versionen av konfigurationsmodellen;Wersja modelu konfiguracji;Versjonskontroll for konfigurasjonsmodell
Enable this for configuration model versioning. All the changes made to the configuration model will be saved as a draft, which can be previewed. All the changes must be published explicitly to come into effect for the end-users.;Schakel dit in voor versiebeheer van configuratiemodellen. Alle wijzigingen die in het configuratiemodel zijn aangebracht, worden opgeslagen als concept, dat kan worden bekeken. Alle wijzigingen moeten expliciet worden gepubliceerd om van kracht te worden voor de eindgebruikers.;Activez cette option pour le gestion des versions du modèle de configuration. Toutes les modifications apportées au modèle de configuration seront enregistrées en tant que brouillon, qui peut être prévisualisé. Toutes les modifications doivent être publiées explicitement pour être prises en compte par les utilisateurs finaux.;Aktivieren Sie diese Option für die Versionierung des Konfigurationsmodells. Alle am Konfigurationsmodell vorgenommenen Änderungen werden als Entwurf gespeichert, der in der Vorschau angezeigt werden kann. Alle Änderungen müssen explizit veröffentlicht werden, um für die Endbenutzer wirksam zu werden.;Aktivera detta för versionering av konfigurationsmodeller. Samtliga ändringar som görs i konfigurationsmodellen sparas som ett utkast och kan förhandsgranskas. Alla ändringar måste offentliggöras tydligt för att träda i kraft för användarna.;Włącz tę opcję dla przechowywania wersji modelu konfiguracji. Wszystkie zmiany wprowadzone w modelu konfiguracji zostaną zapisane jako wersja robocza, której podgląd można wyświetlić. Wszystkie zmiany muszą zostać wyraźnie opublikowane, aby mogły zostać wprowadzone w życie dla użytkowników końcowych.;"
Aktiver dette for versjonskontroll av konfigurasjonsmodellen. Alle endringene som gjøres i konfigurasjonsmodellen lagres som et utkast, som kan forhåndsvises. Alle endringene må publiseres eksplisitt for å tre i kraft for sluttbrukerne."
Configuration model specific prices for features;Configuratiemodel specifieke prijzen voor features;Prix des fonctionnalités spécifiques au modèle de configuration;Konfiguration modellspezifischer Preise für Funktionen;Specifika priser för funktioner i konfigurationsmodellen;Ceny wyposażenia specyficznego dla modelu konfiguracji;Spesifikke priser for konfigurasjonsmodell for funksjoner
Enable this to have different feature prices per configuration model. This allows you to have different prices for the same feature, based on the configuration model the feature is in. An extra option will show up in the Relationship properties dialog in the configuration model editor to add a fixed value or a formula to overwrite the feature price.;Schakel dit in om prijzen voor een feature te bepalen per configuratiemodel. Hierdoor kun je verschillende prijzen hebben voor dezelfde feature, op basis van het configuratiemodel waarin de feature zich bevindt. Er verschijnt een extra optie in de Relatie-eigenschappen dialoog in de configuratiemodeleditor om een vaste waarde of een formule toe te voegen om de featureprijs te overschrijven.;Activez cette option pour avoir des prix différents pour les fonctionnalités par modèle de configuration. Cela vous permet d'avoir des prix différents pour la même fonctionnalité, en fonction du modèle de configuration dans lequel la fonctionnalité se trouve. Une option supplémentaire s'affiche dans la boîte de dialogue des propriétés de la relation dans l'éditeur de modèle de configuration pour ajouter une valeur fixée ou une formule permettant de remplacer le prix de la fonctionnalité.;Aktivieren Sie diese Option, um unterschiedliche Preise für ein Funktion pro Konfigurationsmodell zu haben. So können Sie unterschiedliche Preise für ein und dasselbe Funktion haben, je nachdem, in welchem Konfigurationsmodell sich das Funktion befindet. Im Dialog Beziehungseigenschaften im Konfigurationsmodell-Editor wird eine zusätzliche Option angezeigt, mit der Sie einen festen Wert oder eine Formel zum Überschreiben des Funktionspreises hinzufügen können.;Aktivera detta för att ha olika funktionspriser per konfigurationsmodell. Så här kan du ha olika priser för samma funktion, beroende på vilken konfigurationsmodell funktionen finns i. Ett extra alternativ visas i dialogrutan;Włącz tę opcję, aby mieć różne ceny wyposażenia dla każdego modelu konfiguracji. Umożliwia to różne ceny tej samego wyposażenia, w zależności od modelu konfiguracji, w którym wyposażenie się znajduje. W oknie dialogowym Właściwości relacji w edytorze modelu konfiguracji pojawi się dodatkowa opcja umożliwiająca dodanie stałej wartości lub formuły zastępującej cenę elementu.;Aktiver dette for å ha forskjellige funksjonspriser per konfigurasjonsmodell. Dette gjør at du kan ha forskjellige priser for samme funksjon, basert på konfigurasjonsmodellen funksjonen er i. I dialogboksen Relasjonsegenskaper i konfigurasjonsmodelleditoren vises et ekstra alternativ for å legge til en fast verdi eller en formel for å overskrive funksjonsprisen.
Show code in configuration models;Code tonen in configuratie modellen;Prix des caractéristiques spécifiques aux modèles de configuration;Code in Konfigurationsmodellen zeigen;Relationsegenskaper i konfigurationsmodellen för att lägga till ett fast värde eller en formula för att skriva över funktionspriset.;Pokaż kod w modelach konfiguracji;Vis kode i konfigurasjonsmodeller 
Enable this to show a Feature's Code next to its Name on the configuration model pages.;Schakel dit in om de feature code naast de naam ervan op de configuratiemodelpagina's te tonen.;Activez cette option pour afficher le code d'une fonctionnalité à côté de son nom sur les pages du modèle de configuration;Aktivieren Sie dies, um den Code eines Funktions neben seinem Namen auf den Konfigurationsmodellseiten anzuzeigen;Visa kod i konfigurationsmodeller;Włącz to zobaczyć Kod Wyposażenia  obok jego nazwy na stronach modelu konfiguracji;Aktiver dette for å vise en funksjonskode ved siden av navnet på konfigurasjonsmodellsidene.
Disable EMS conflict dialog;Schakel EMS-conflictdialoog uit;Désactiver le dialogue de conflit EMS;EMS-Konfliktdialog deaktivieren;Slå på knappen om du vill visa en funktions kod bredvid sitt namn.;Wyłącz okna dialogowego konfliktów EMS;Deaktiver dialogboks for EMS-konflikt 
Disable Showroom conflict dialog;Schakel Showroom-conflictdialoog uit;Désactiver le dialogue de conflit du showroom;Showroom-Konfkliktdialog deaktivieren;Inaktivera dialogrutan för EMS-konflikter;Wyłącz dialog konfliktu w Showroom;Deaktiver konfliktdialogboks for showroom
"The conflict dialog opens up when there is a conflict in selected options when configuring a product in the """"Order Entry"""" page. It enables the user to select different options, in order to resolve the conflict. If the dialog is disabled, the software automatically enables/disables certain options such that the selected option is enabled.";"Het conflictdialoogvenster wordt geopend wanneer er een conflict is in geselecteerde opties bij het configureren van een product op de pagina  """"Orderinvoer"""". Hiermee kan de gebruiker verschillende opties selecteren om het conflict op te lossen. Als het dialoogvenster is uitgeschakeld, schakelt de software bepaalde opties automatisch in / uit, zodat de geselecteerde optie wordt ingeschakeld.";"La boîte de dialogue de conflit s'ouvre lorsqu'il y a un conflit dans les options sélectionnées lors de la configuration d'un produit dans la page """"Entrée de la commande"""". Elle permet à l'utilisateur de sélectionner différentes options, afin de résoudre le conflit. Si le dialogue est désactivé, le logiciel active/désactive automatiquement certaines options de sorte que l'option sélectionnée soit activée.";"Der Konfliktdialog öffnet sich, wenn bei der Konfiguration eines Produkts auf der Seite """"Auftragserfassung"""" ein Konflikt bei den ausgewählten Optionen auftritt. Er ermöglicht es dem Benutzer, verschiedene Optionen auszuwählen, um den Konflikt aufzulösen. Wenn der Dialog nicht aktiviert ist, aktiviert/deaktiviert die Software automatisch bestimmte Optionen, so dass die ausgewählte Option aktiviert wird.";Inaktivera dialogrutan för konflikter i showroom;"Okno dialogowe konfliktu otwiera się, gdy występuje konflikt w wybranych opcjach podczas konfigurowania produktu na stronie """"Wprowadzanie zamówień"""". Umożliwia użytkownikowi wybranie różnych opcji w celu rozwiązania konfliktu. Jeśli okno dialogowe jest wyłączone, oprogramowanie automatycznie włącza/wyłącza niektóre opcje, tak że wybrana opcja jest włączona.";"Konfliktdialogen åpnes når det er en konflikt mellom de valgte alternativene når du konfigurerer et produkt på siden """"Ordreinngang"""". Her kan brukeren velge ulike alternativer for å løse konflikten. Hvis dialogboksen er deaktivert, aktiverer/deaktiverer programvaren automatisk visse alternativer slik at det valgte alternativet aktiveres."
The conflict dialog opens up when there is a conflict in selected options when configuring a product in the showroom. It enables the user to select different options, in order to resolve the conflict. If the dialog is disabled, the software automatically enables/disables certain options such that the selected option is enabled.;Het conflictdialoogvenster wordt geopend wanneer er een conflict is in geselecteerde opties bij het configureren van een product in de showroom. Hiermee kan de gebruiker verschillende opties selecteren om het conflict op te lossen. Als het dialoogvenster is uitgeschakeld, schakelt de software bepaalde opties automatisch in / uit, zodat de geselecteerde optie wordt ingeschakeld.;La boîte de dialogue de conflit s'ouvre lorsqu'il y a un conflit dans les options sélectionnées lors de la configuration d'un produit dans le showroom. Elle permet à l'utilisateur de sélectionner différentes options, afin de résoudre le conflit. Si le dialogue est désactivé, le logiciel active/désactive automatiquement certaines options de sorte que l'option sélectionnée soit activée.;Der Konfliktdialog öffnet sich, wenn bei der Konfiguration eines Produkts im Showroom ein Konflikt bei den ausgewählten Optionen auftritt. Er ermöglicht es dem Benutzer, verschiedene Optionen auszuwählen, um den Konflikt zu lösen. Wenn der Dialog deaktiviert ist, aktiviert/deaktiviert die Software automatisch bestimmte Optionen, so dass die ausgewählte Option aktiviert wird.;Dialogrutan öppnas när det finns en konflikt mellan valda alternativ när du konfigurerar en produkt i showroomet. Där kan användaren välja olika alternativ för att lösa konflikten. Om dialogrutan är inaktiverad, kommer programvaran automatiskt att aktivera/avaktivera vissa alternativ så att det valda alternativet aktiveras;"Okno dialogowe konfliktu otwiera się, gdy występuje konflikt w wybranych opcjach podczas konfigurowania produktu na stronie """"Wprowadzanie zamówień"""". Umożliwia użytkownikowi wybranie różnych opcji w celu rozwiązania konfliktu. Jeśli okno dialogowe jest wyłączone, oprogramowanie automatycznie włącza/wyłącza niektóre opcje, tak że wybrana opcja jest włączona.";Konfliktdialogen åpnes når det oppstår en konflikt mellom de valgte alternativene når du konfigurerer et produkt i utstillingslokalet. Her kan brukeren velge ulike alternativer for å løse konflikten. Hvis dialogboksen er deaktivert, aktiverer/deaktiverer programvaren automatisk visse alternativer slik at det valgte alternativet aktiveres.
Privacy policy appendix;Bijlage Privacy beleid;Annexe de la politique de confidentialité;Datenschutzerklärung - Appendix;Tillägg till integritetspolicy;Załącznik do polityki prywatności;Vedlegg til personvern
Show appendix;Bijlage weergeven;Montrer l'annexe;Appendix anzeigen;Visa bilaga;Pokaż załącznik;Vis vedlegg
Add an appendix (PDF) to the privacy policy. The privacy policy is displayed in the cookie bar, which is required by European law. This can be used to stay compliant with the GDPR.;Voeg een appendix (pdf) toe aan het privacy beleid. Het privacy beleid wordt weergegeven in de cookiebalk, die vereist is door de Europese wetgeving. Dit kan worden gebruikt om te voldoen aan de AVG.;Ajoutez une annexe (PDF) à la politique de confidentialité. La politique de confidentialité s'affiche dans la barre de cookies, ce qui est exigé par la législation européenne. Cela peut être utilisé pour rester en conformité avec le GDPR.;Fügen Sie einen Anhang (PDF) zur Datenschutzrichtlinie hinzu. Die Datenschutzrichtlinie wird in der Cookie-Leiste angezeigt, was nach europäischem Recht vorgeschrieben ist. Dies kann verwendet werden, um mit der GDPR konform zu bleiben.;Lägg till en bilaga (PDF) till integritetspolicyn. Integritetspolicyn visas i cookiefältet, som krävs enligt EU-lagstiftningen. Används för att hålla sig i överensstämmelse med GDPR.;Dodaj załącznik (PDF) do polityki prywatności. Polityka prywatności jest wyświetlana w pasku plików cookie, co jest wymagane przez prawo europejskie. Można to wykorzystać do zachowania zgodności z RODO.;Legg til et vedlegg (PDF) til personvernreglene. Personvernerklæringen vises i cookiefeltet, som er påkrevd av europeisk lov. Brukes til å overholde GDPR.
Require custom terms and conditions with account creation;Vereisen aangepaste voorwaarden bij het aanmaken van een account;Exiger des conditions générales personnalisées lors de la création d'un compte;Verlangt benutzerdefinierte Geschäftsbedingungen bei der Erstellung eines Kontos;Krävs anpassade villkor vid registrering.;Wymagaj niestandardowych warunków korzystania z usługi przy utworzeniu konta;Krev tilpassede vilkår og betingelser ved opprettelse av konto
When creating a new account, the new user is required to read and accept the custom terms and conditions.;Bij het aanmaken van een nieuw account moet de nieuwe gebruiker de aangepaste voorwaarden lezen en accepteren.;Lors de la création d'un nouveau compte, le nouvel utilisateur doit lire et accepter les conditions générales personnalisées.;Bei der Erstellung eines neuen Kontos muss der neue Nutzer die benutzerdefinierten Bedingungen lesen und akzeptieren.;Vid registrering måste den nya användaren läsa och godkänna de anpassade villkoren.;Przy tworzeniu nowego konta nowy użytkownik musi przeczytać i zaakceptować niestandardowe warunki.;Når du oppretter en ny konto, må den nye brukeren lese og godta de tilpassede vilkårene.
Custom terms and conditions;Aangepaste voorwaarden;Conditions générales personnalisées;Benutzerdefinierte Bedingungen und Konditionen;Anpassade villkor;Niestandardowe warunki i postanowienia;Tilpassede vilkår og betingelser
Add a custom terms and conditions (PDF) file. When required, new users have to read and accept those terms and conditions before creating a new account.;Voeg een aangepast bestand met algemene voorwaarden (pdf) toe. Indien nodig moeten nieuwe gebruikers deze voorwaarden lezen en accepteren voordat ze een nieuw account aanmaken.;Ajoutez un fichier de conditions générales personnalisées (PDF). Si nécessaire, les nouveaux utilisateurs doivent lire et accepter ces termes et conditions avant de créer un nouveau compte.;Fügen Sie eine benutzerdefinierte Geschäftsbedingungen (PDF) Datei hinzu. Falls erforderlich, müssen neue Nutzer diese Bedingungen lesen und akzeptieren, bevor sie ein neues Konto erstellen können.;Lägg till en fil med anpassade villkor (PDF). När det krävs måste nya användare läsa och godkänna dessa villkor innan de skapar ett nytt konto.;Dodaj plik niestandardowycg warunków i postanowień (PDF). W razie potrzeby nowi użytkownicy muszą przeczytać i zaakceptować te warunki przed utorzeniem nowego konta.;Legg til en egendefinert fil med vilkår og betingelser (PDF). Når det er nødvendig, må nye brukere lese og godta disse vilkårene og betingelsene før de oppretter en ny konto.
Upload new T&C (PDF);Upload nieuwe algemene voorwaarden (pdf);Télécharger de nouvelles T&C (PDF);Neue Bedingungen hochladen (PDF);Ladda upp nya användarvillkor (PDF);Prześlij nowe warunki użytkowania (PDF);Last opp nye brukervilkår (PDF)
Value;Waarde;Valeur;Wert;Värde;Wartość;Verdi
Total excl. VAT;Totaal excl. BTW;Total hors TVA;Gesamtwert ohne MwSt.;Totalt exkl. moms;Razem bez VAT;Sum ekskl. mva.
Total incl. VAT;Totaal incl. BTW;Total TTC;Gesamtwert inkl. MwSt.;Totalt inkl. moms;Razem z VAT;Sum inkl. mva.
Database restore points;Database herstelpunten;Points de restauration de la base de données;Database Wiederherstellungspunkte;Återställningspunkter för databaser;Punkty przywracania bazy danych;Gjenopprettingspunkter for databaser 
When you create a database restore point, you can restore all your information to a given point.;Wanneer u een databaseherstelpunt maakt, kunt u al uw informatie naar een bepaald punt herstellen.;Lorsque vous créez un point de restauration de la base de données, vous pouvez restaurer toutes vos informations à un point donné.;Wenn Sie einen Datenbank-Wiederherstellungspunkt erstellen, können Sie alle Informationen bis zu einem bestimmten Punkt wiederherstellen.;När du skapar en återställningspunkt för databasen kan du återställa alla uppgifter till en viss period.;Podczas tworzenia punktu przywracania bazy danych można przywrócić wszystkie informacje do określonego punktu.;Når du oppretter et databasegjenopprettingspunkt, kan du gjenopprette all informasjon til et gitt punkt. 
NOTE: this action can not be undone.;OPMERKING: deze actie kan niet ongedaan worden gemaakt.;REMARQUE : cette action ne peut pas être annulée.;HINWEIS: Diese Aktion kann nicht rückgängig gemacht werden.;OBS: Åtgärden kan inte ångras.;UWAGA: tej czynności nie można cofnąć.;MERK: Denne handlingen kan ikke angres. 
No restore points available.;Geen herstelpunten beschikbaar.;Aucun point de restauration disponible.;Keine Wiederherstellungspunkte verfügbar.;Inga tillgängliga återställningar;Brak dostępnych punktów przywracania.;Ingen gjenopprettingspunkter tilgjengelig. 
Restore points;Herstel punten;Points de restauration;Wiederherstellungspunkte;Återställningpunkter;Punkty przywracania;Gjenopprettingspunkter 
Upload restore point;Herstelpunt uploaden;Télécharger un point de restauration;Wiederherstellungspunkt hochladen;Ladda upp återställningspunkt;Przekazywanie punktu przywracania;Last opp gjenopprettingspunkt 
Create restore point;Maak herstelpunt;Créer un point de restauration;Wiederherstellungspunkt erstellen;Skapa återställningspunkt;Tworzenie punktu przywracania;Opprett gjenopprettingspunkt 
Allow editing table presets;Sta het bewerken van tabelvoorinstellingen toe;Autoriser l'édition des préréglages de table;Bearbeitung von Tabellenvoreinstellungen zulassen;Tillåt redigering av förinställningar för tabeller;Zezwalaj na edycję ustawień predefiniowanych tabeli;Tillat redigering av forhåndsinnstillinger av tabell
Allow users to create and edit their own table layouts.;Sta gebruikers toe hun eigen tabellay-outs te maken en te bewerken.;Permettez aux utilisateurs de créer et de modifier leurs propres mises en page de tableaux.;Erlauben Sie Benutzern, ihre eigenen Tabellenlayouts zu erstellen und zu bearbeiten.;Tillåt användare att skapa och redigera sina egna tabelllayouter.;Zezwalaj użytkownikom na tworzenie i edytowanie własnych układów tabeli.;Tillat brukere å opprette og redigere sine egne tabelloppsett. 
Quotation Lines;Offerte regels;Lignes de cotation;Angebotslinien;Noteringslinjer;Wiersze oferty;Tilbudslinjer 
Edit table presets;Tabelvoorinstellingen bewerken;Modifier les préréglages de table;Tabellenvoreinstellungen bearbeiten;Redigera tabellförinställningar;Edytowanie ustawień predefiniowanych tabeli;Redigere forhåndsinnstillinger for tabell
Search engine optimalization.;Zoek machine optimalisatie.;Optimisation des moteurs de recherche.;Optimierung für Suchmaschinen.;Förbättring av sökmotorerna.;Optymalizacja pod kątem wyszukiwarek;Søkemotoroptimalisering.
API key that is used to integrate Google Analytics. This key is found in Google Analytics.;API-sleutel die wordt gebruikt om Google Analytics te integreren. Deze sleutel is te vinden in Google Analytics.;Clé API qui est utilisée pour intégrer Google Analytics. Cette clé se trouve dans Google Analytics.;API-Key, der für die Integration von Google Analytics verwendet wird. Dieser Schlüssel ist in Google Analytics zu finden.;API-nyckel som används för att integrera Google Analytics. Den här nyckeln finns i Google Analytics.;Klucz API, który służy do integracji Google Analytics. Ten klucz znajduje się w Google Analytics.;API-nøkkel som brukes til å integrere Google Analytics. Denne nøkkelen finnes i Google Analytics.
of max.;van max.;de max.;von max.;i max;z maks.;på maks.
Search the world's information including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for.;Doorzoek de informatie van de wereld, waaronder webpagina's, afbeeldingen, video's en meer. Google heeft veel speciale functies om u te helpen precies te vinden wat u zoekt.;Recherchez les informations du monde entier, y compris les pages Web, les images, les vidéos et plus encore. Google dispose de nombreuses fonctionnalités spéciales pour vous aider à trouver exactement ce que vous recherchez.;Durchsuchen Sie die Informationen der Welt, einschließlich Webseiten, Bilder, Videos und mehr. Google hat viele spezielle Funktionen, die Ihnen helfen, genau das zu finden, wonach Sie suchen.;Sök i hela världens information, inklusive webbsidor, bilder, videor och mycket mer. Google har många specialfunktioner som hjälper dig att hitta precis vad du söker.;Przeszukuj światowe informacje, w tym strony internetowe, obrazy, filmy i inne. Google ma wiele specjalnych funkcji, które pomogą Ci znaleźć dokładnie to, czego szukasz.;Søk i all informasjon, inkludert nettsider, bilder, videoer og mer. Google har mange spesialfunksjoner som hjelper deg med å finne akkurat det du leter etter.
Preview;Voorbeeld;Aperçu;Übersicht;Förhandsgranska;Podgląd;Forhåndsvisning 
A preview for the style. You will need to refresh the page (press F5) before the changes to take into effect.;Een voorbeeld van de stijl. U moet de pagina vernieuwen (druk op F5) voordat de wijzigingen van kracht worden.;Un aperçu du style. Vous devrez actualiser la page (en appuyant sur F5) pour que les modifications soient prises en compte.;Eine Vorschau für den Style. Sie müssen die Seite aktualisieren (F5 drücken), damit die Änderungen wirksam werden.;Förevisning av modellen. Uppdatera sidan (tryck på F5) innan ändringarna träder i kraft.;Podgląd stylu. Musisz odświeżyć stronę (naciśnij F5), zanim zmiany zaczną obowiązywać.;En forhåndsvisning for stilen. Du må oppdatere siden (trykk F5) før endringene trer i kraft. 
Primary color;Primaire kleur;Couleur primaire;Primäre Farbe;Grundfärg;Kolor podstawowy;Primærfarge 
The primary color is the main color that is used within the showroom and EMS.;De primaire kleur is de hoofdkleur die wordt gebruikt binnen de showroom en EMS;La couleur primaire est la couleur principale qui est utilisée dans la salle d'exposition et le SME.;Die Primärfarbe ist die Hauptfarbe, die im Showroom und im EMS verwendet wird.;Grundfärgen är den huvudsakliga färgen som används i showroomet och EMS.;Kolor podstawowy to główny kolor używany w Showroom i EMS;Primærfargen er hovedfargen som brukes i utstillingslokalet og EMS. 
Accent color;Accent kleur;Couleur d'accentuation;Akzentfarbe;Accentfärg;Kolor wiodący;Uthevingsfarge 
The accent color is used to draw the users eye to action areas, such as save buttons.;De accentkleur wordt gebruikt om de gebruiker te wijzen op actiegebieden, zoals knoppen voor opslaan.;La couleur d'accentuation est utilisée pour attirer l'attention des utilisateurs sur les zones d'action, telles que les boutons d'enregistrement.;Die Akzentfarbe wird verwendet, um die Aufmerksamkeit des Benutzers auf Aktionsbereiche, wie z. B. die Schaltflächen zum Speichern, zu lenken.;Accentfärgen används för att dra användarens uppmärksamhet till åtgärdsområden, t.ex. lagringsknappar.;Kolor wiodący służy do przyciągania wzroku użytkownika do obszarów akcji, takich jak przyciski zapisywania.;Aksentfargen brukes til å trekke brukerens øye til handlingsområder, for eksempel lagringsknapper. 
Primary font color;Primaire letterkleur;Couleur de police primaire;Primäre Schriftfarbe;Primär teckensnittsfärg;Podstawowy kolor czcionki;Primær skriftfarge 
The primary font color is used in combination with the primary color.;De primaire letterkleur wordt gebruikt in combinatie met de primaire kleur.;La couleur de police primaire est utilisée en combinaison avec la couleur primaire.;Die primäre Schriftfarbe wird in Kombination mit der Primärfarbe verwendet.;Den primära teckensnittsfärgen används i kombination med den primära färgen.;Podstawowy kolor czcionki jest używany z połączeniu z kolorem podstawowym.;Den primære skriftfargen brukes i kombinasjon med primærfargen. 
Accent font color;Accent lettertype kleur;Couleur de police accentuée;Akzent-Schriftfarbe;Accent teckensnittsfärg;Kolor czcionki akcentującej;Skriftfarge med utheving 
The accent font color is used in combination with the accent color.;De accentletterkleur wordt gebruikt in combinatie met de accentkleur.;La couleur de la police accentuée est utilisée en combinaison avec la couleur accentuée.;Die Akzentschriftfarbe wird in Kombination mit der Akzentfarbe verwendet.;Den accentuerade typsnittsfärgen används i kombination med accentfärgen.;Kolor czcionki akcentującej jest używany w połączeniu z kolorem wiodącym.;Uthevingsskriftfargen brukes i kombinasjon med uthevingsfargen. 
Font;Lettertype;Police;Schriftart;Teckensnitt;Czcionka;Font 
The font is used in the showroom and EMS.;Het lettertype wordt gebruikt in de showroom en EMS.;La police est utilisée dans la salle d'exposition et le SME.;Die Schriftart wird im Showroom und im EMS verwendet.;Teckensnittet används i showroom och EMS.;Czcionka jest używana w showroom i EMS;Skriften brukes i utstillingslokalet og EMS. 
Logo;Logo;Logo;Logo;Logotyp;Logo;Logo 
The logo is displayed in the top left corner in the showroom.;Het logo staat linksboven in de showroom.;Le logo est affiché dans le coin supérieur gauche de la salle d'exposition.;Das Logo wird in der oberen linken Ecke des Showrooms angezeigt.;Logotypen visas i översta vänstra hörnet i showroomet.;Logo jest wyświetlane w lewym górnym rogu showroom.;Logoen vises øverst i venstre hjørne i showroom 
Logo for quotation document & Login page;Logo voor offertedocument & loginpagina;Logo pour le document de devis et la page de connexion;Logo für Angebotsdokument & Login-Seite;Logotyp för offertdokument och inloggningssida.;Logo dla dokumentu oferty & strony logowania;Logo for tilbudsdokument og påloggingsside
Upload a logo here, which will be available in the quotation template XML. This will also be used on the login page;Upload hier een logo, dat beschikbaar zal zijn in de offertesjabloon XML. Deze wordt ook gebruikt op de inlogpagina;Téléchargez un logo ici, qui sera disponible dans le modèle de devis XML. Il sera également utilisé sur la page de connexion;Laden Sie hier ein Logo hoch, das in der XML-Angebotsvorlage verfügbar sein wird. Dieses wird auch auf der Login-Seite verwendet.;Ladda upp en logotyp här, som kommer att finnas tillgänglig i XML-mallen för offertmallen. Den kommer också att användas på inloggningssidan.;Prześlij tutaj logo, które będzie dostępne w szablonie oferty XML. Będzie to również używane na stronie logowania.;Last opp logo her, denne vil være tilgjengelig i tilbudsmalen XML. Dette vil også bli brukt på påloggingssiden
Favicon;Favicon;Favicon;Favicon;Favicon;Favicon;Favicon
A favicon is small icon that is displayed in the browser tab, and as icon when the page is saved as a bookmark.;Een favicon is een klein pictogram dat wordt weergegeven op het browsertabblad en als pictogram wanneer de pagina wordt opgeslagen als bladwijzer.;Une favicon est une petite icône qui s'affiche dans l'onglet du navigateur, et comme icône lorsque la page est enregistrée comme signet.;Ein Favicon ist ein kleines Symbol, das in der Browserleiste angezeigt wird und als Symbol erscheint, wenn die Seite als Lesezeichen gespeichert wird.;En favicon är en liten ikon som visas i webbläsarens flik och när en sidan sparas som bokmärke.;Favicon to mała ikona, która jest wyświetlana na karcie przeglądarki i jako ikona, gdy strona jest zapisywana jako zakładka.;Et favicon er et lite ikon som vises i nettleserfanen, og som et ikon når siden lagres som et bokmerke. 
Dashboard background;Dashboard achtergrond;Fond du tableau de bord;Dashboard-Hintergrund;Bakgrund för kontrollpanelen;Tło puplitu nawigacyjnego;Bakgrunn på dashbordet 
The dashboard image is shown in the header on the dashboard page in the EMS.;De dashboardafbeelding wordt weergegeven in de koptekst op de dashboardpagina in het EMS.;L'image du tableau de bord est affichée dans l'en-tête de la page du tableau de bord dans l'EMS.;Das Dashboard-Bild wird in der Überschrift auf der Dashboard-Seite im EMS angezeigt.;Bilden av kontrollpanelen visas i rubriken på kontrollpanelsidan i EMS.;Obraz pulpitu nawigacyzjnego jest wyświetlany na nagłówku na stronie pulpitu nawigacyjnego w pakiecie EMS.;Dashbordbildet vises i toppteksten på instrumentbordsiden i EMS. 
Login background image;Login achtergrondafbeelding;Image d'arrière-plan de la connexion;Login-Hintergrundbild;Bakgrundsbild för inloggning;Obraz tła logowania;Bakgrunnsbilde for pålogging 
Background image which is displayed at the login page.;Achtergrondafbeelding die wordt weergegeven op de inlogpagina.;Image d'arrière-plan qui s'affiche sur la page de connexion.;Hintergrundbild, das auf der Login-Seite gezeigt wird.;Bakgrundsbild som visas på inloggningssidan.;Obraz tła, który jest wyświetlany na stronie logowania;Bakgrunnsbilde som vises på påloggingssiden. 
Custom CSS (showroom);Custom CSS (showroom);CSS personnalisé (showroom);Custom CSS (Showroom);Anpassad CSS (showroom);Niestandardowy CSS (showroom);Tilpasset CSS (showroom) 
